DesignId,PRL,PRW,Stretch,FRJ,FRP,FRL,MC type
D00039,1000,220,0.6,1290,400,168,JL
D00039,983,250,0.6,1290,490,167,JL
D00039,965,240,0.7,1290,480,160,JL
D00039,965,240,0.7,1220,490,165,JL
D00042,260,320,0.8,1200,320,175,JL
D00042,270,350,0.6,1200,320,160,JL
D00042,265,360,0.6,1200,320,150,JL
D00042,230,320,0.9,1200,310,150,JL
D00042,240,320,0.9,1190,280,160,JL
D00049,32,210,0.7,1120,300,180,JQ
D00049,30,220,0.6,1025,0,160,JQ
D00049,28,220,0.6,1030,0,160,JQ
D00049,30,220,0.6,1030,0,165,JQ
D00049,30,220,0.6,1030,0,165,JQ
D00049,27,220,0.6,1025,340,150,JQ
D00049,33,215,0.6,1030,0,160,JQ
D00049,30,220,0.6,1025,0,160,JQ
D00049,27,220,0.6,1025,0,150,JQ
D00049,28,220,0.6,1100,300,150,JQ
D00049,27,220,0.6,1025,340,150,JQ
D00049,32,205,0.7,1220,330,165,JQ
D00049,27,220,0.6,1025,340,150,JQ
D00049,26,210,0.6,1030,0,150,JQ
D00049,27,215,0.6,1030,0,150,JQ
D00049,30,220,0.6,1025,0,160,JQ
D00049,27,215,0.6,1025,0,150,JQ
D00053,57,136,0.7,1240,470,190,JQ
D00053,54,137,0.7,1225,470,190,JQ
D00053,55,140,0.7,1200,470,190,JQ
D00055,53,240,0.6,1080,340,170,JQ
D00055,48,210,0.7,1000,420,175,JQ
D00055,47,205,0.7,1000,410,170,JQ
D00055,50,230,0.8,1135,315,170,JQ
D00055,52,230,0.7,1140,300,170,JQ
D00055,46,230,0.7,1200,280,140,JQ
D00055,46,190,0.7,1160,350,170,JQ
D00055,47,195,0.7,1130,350,180,JQ
D00055,49,200,0.6,1040,380,170,JQ
D00055,51,205,0.6,1010,400,180,JQ
D00055,50,205,0.7,1000,420,180,JQ
D00056,100,190,0.8,1100,350,165,JQ
D00056,120,225,0.55,920,0,190,JQ
D00056,115,220,0.55,930,0,180,JQ
D00056,110,220,0.55,930,0,170,JQ
D00056,100,210,0.6,1240,0,165,JQ
D00056,120,190,0.7,1050,0,185,JQ
D00056,110,205,0.65,1050,0,165,JQ
D00056,100,220,0.6,975,0,160,JQ
D00056,105,215,0.6,975,0,180,JQ
D00056,105,205,0.6,975,0,180,JQ
D00056,105,197,0.6,975,0,180,JQ
D00056,103,195,0.9,1050,380,175,JQ
D00056,105,201,0.6,975,0,180,JQ
D00056,105,205,0.6,975,0,180,JQ
D00056,100,195,0.5,975,0,180,JQ
D00056,105,205,0.6,975,0,230,JQ
D00056,103,196,0.6,975,400,175,JQ
D00056,105,202,0.6,950,400,180,JQ
D00056,105,205,0.6,945,400,180,JQ
D00056,105,205,0.6,945,400,180,JQ
D00056,120,200,0.6,975,425,185,JQ
D00056,110,205,0.6,980,435,170,JQ
D00056,103,205,0.55,975,425,185,JQ
D00056,105,205,0.6,980,435,170,JQ
D00056,105,205,0.6,985,425,170,JQ
D00056,105,205,0.6,995,425,170,JQ
D00056,105,205,0.6,995,425,170,JQ
D00056,102,190,0.65,975,0,185,JQ
D00056,100,196,0.65,975,0,185,JQ
D00056,104,203,0.6,965,0,185,JQ
D00056,108,205,0.6,960,0,185,JQ
D00056,112,195,0.55,955,0,180,JQ
D00056,110,210,0.55,955,0,170,JQ
D00056,105,295,0.6,975,425,185,JQ
D00056,105,205,0.6,955,0,165,JQ
D00056,113,205,0.5,975,0,185,JQ
D00056,110,205,0.55,975,0,170,JQ
D00056,105,200,0.55,975,0,160,JQ
D00056,105,205,0.55,975,0,160,JQ
D00056,102,205,0.6,975,425,185,JQ
D00056,110,185,0.6,1200,0,170,JQ
D00056,110,187,0.6,1100,0,170,JQ
D00056,110,210,0.6,95,0,170,JQ
D00056,110,215,0.6,930,0,185,JQ
D00058,43,220,0.7,1075,320,160,JQ
D00058,43,220,0.7,1075,0,220,JQ
D00058,43,220,0.7,1075,0,220,JQ
D00058,43,220,0.7,1075,0,220,JQ
D00059,60,210,0.55,1050,350,170,JQ
D00059,57,210,0.55,1030,365,180,JQ
D00059,58,215,0.55,1015,370,190,JQ
D00059,64,215,0.5,1025,370,195,JQ
D00059,60,215,0.55,1025,370,190,JQ
D00059,60,215,0.5,1020,0,190,JQ
D00059,56,215,0.55,1030,0,190,JQ
D00059,60,215,0.55,1030,0,195,JQ
D00059,60,220,0.55,1030,0,195,JQ
D00060,85,195,0.9,1200,0,160,JQ
D00060,89,207,0.92,1160,0,160,JQ
D00060,89,212,0.8,1120,0,160,JQ
D00060,90,217,0.8,1120,0,160,JQ
D00060,90,210,0.8,1100,0,160,JQ
D00060,78,210,0.7,1100,0,160,JQ
D00060,85,210,0.8,1100,0,175,JQ
D00060,90,210,0.8,1100,0,185,JQ
D00062,77,175,0.6,1170,0,175,JQ
D00062,74,220,0.5,970,0,170,JQ
D00062,75,185,0.6,1120,0,170,JQ
D00062,75,200,0.6,1060,0,170,JQ
D00062,76,200,0.6,1010,0,180,JQ
D00062,72,200,0.6,1010,0,170,JQ
D00062,72,198,0.6,1010,0,170,JQ
D00062,73,203,0.6,1010,0,170,JQ
D00062,74,220,0.6,990,0,170,JQ
D00062,70,220,0.5,970,0,170,JQ
D00063,45,220,0.7,1170,0,180,JQ
D00063,44,220,0.7,1170,355,180,JQ
D00063,44,220,0.7,1170,355,180,JQ
D00063,44,220,0.7,1170,355,180,JQ
D00063,44,227,0.8,1180,360,180,JQ
D00063,44,222,0.8,1190,355,180,JQ
D00063,47,227,0.8,1195,345,170,JQ
D00063,45,225,0.75,1175,355,180,JQ
D00063,44,220,0.7,1185,350,170,JQ
D00063,44,215,0.7,1180,345,170,JQ
D00063,44,215,0.7,1190,360,170,JQ
D00063,44,220,0.7,1180,0,180,JQ
D00063,51,230,0.6,1050,335,200,JQ
D00063,47,220,0.65,1050,350,200,JQ
D00063,46,220,0.6,1060,350,190,JQ
D00063,45,225,0.8,1200,345,145,JQ
D00063,40,230,0.9,1160,350,140,JQ
D00063,47,230,0.7,1200,400,180,JQ
D00063,41,221,0.8,1200,365,160,JQ
D00063,42,225,0.7,1200,385,160,JQ
D00063,43,220,0.7,1215,380,160,JQ
D00063,44,220,0.7,1165,310,180,JQ
D00063,44,220,0.7,1180,0,180,JQ
D00063,46,226,0.6,1170,360,180,JQ
D00063,44,224,0.6,1180,355,175,JQ
D00063,44,220,0.6,1195,350,170,JQ
D00063,44,230,0.8,1195,350,170,JQ
D00063,44,220,0.7,1180,355,175,JQ
D00063,44,220,0.7,1180,355,175,JQ
D00063,44,230,0.7,1180,355,175,JQ
D00063,44,220,0.7,1180,355,175,JQ
D00063,44,220,0.75,1180,360,175,JQ
D00063,44,220,0.7,1180,0,180,JQ
D00063,46,225,0.7,1210,365,180,JQ
D00063,48,220,0.7,1210,355,185,JQ
D00063,46,220,0.7,1210,355,170,JQ
D00063,44,215,0.7,1210,355,165,JQ
D00063,44,220,0.7,1170,345,180,JQ
D00067,60,130,0.7,1160,380,180,JQ
D00067,55,125,0.6,1150,370,220,JQ
D00067,65,130,0.7,1160,380,170,JQ
D00067,55,130,0.7,1160,380,170,JQ
D00067,59,130,0,1170,345,0,JQ
D00067,65,143,0.6,1170,380,180,JQ
D00067,55,125,0.6,1160,380,170,JQ
D00067,55,125,0.6,1160,385,220,JQ
D00067,65,140,0.6,1160,385,230,JQ
D00067,55,125,0.6,1160,385,220,JQ
D00067,10,10,10,10,10,10,TX
D00068,132,195,0.75,1150,360,200,JQ
D00068,122,200,0.85,1200,340,185,JQ
D00068,120,192,0.8,1200,340,180,JQ
D00068,110,190,1,1300,360,160,JQ
D00068,105,195,1.1,1300,375,160,JQ
D00068,100,200,1.2,1340,375,145,JQ
D00068,95,200,1.35,1370,355,135,JQ
D00068,100,220,1.7,1620,430,130,JQ
D00068,100,220,2.2,1620,430,130,JQ
D00068,116,200,0.9,1200,340,340,JQ
D00068,118,192,0.95,1200,325,325,JQ
D00068,113,192,0.7,1160,360,170,JQ
D00068,125,200,0.95,1230,310,310,JQ
D00068,115,198,1,1250,290,290,JQ
D00068,116,195,0.9,1280,280,280,JQ
D00068,116,195,1.2,1300,280,280,JQ
D00068,110,195,1.2,1330,0,155,JQ
D00068,110,198,1.2,1330,0,155,JQ
D00068,118,195,0.75,1160,360,180,JQ
D00068,123,198,0.8,1170,350,180,JQ
D00068,115,195,0.7,1185,345,170,JQ
D00068,118,195,0.8,1210,345,180,JQ
D00068,118,190,0.7,1220,345,180,JQ
D00068,118,195,0.6,1185,345,180,JQ
D00068,120,192,0.8,1200,340,180,JQ
D00069,58,36,0.6,1190,430,230,JQ
D00069,56,35,0.6,1180,390,190,JQ
D00069,51,37,0.7,1170,380,170,JQ
D00069,52,38,0.6,1170,380,180,JQ
D00069,55,38,0.7,1170,380,190,JQ
D00071,80,25,0.55,1285,330,270,JQ
D00071,80,26,0.6,1320,355,270,JQ
D00071,85,25,0.6,1325,355,260,JQ
D00071,80,25,0.7,1325,355,260,JQ
D00071,80,25,0.6,1285,330,260,JQ
D00071,80,25,0.6,1285,330,255,JQ
D00071,82,25,0.6,1285,330,260,JQ
D00071,80,25,0.6,1285,330,255,JQ
D00071,80,25,0.6,1285,330,225,JQ
D00071,80,25,0.6,1325,355,260,JQ
D00071,80,25,0.6,1285,330,255,JQ
D00071,80,30,0.6,1220,370,185,JQ
D00071,80,25,0.6,1285,330,225,JQ
D00071,80,25,0.6,1340,360,255,JQ
D00071,,,0.6,1325,360,250,JQ
D00071,70,23,0.6,1325,355,260,JQ
D00071,80,36,0.55,1295,355,270,JQ
D00071,95,30,0.6,1295,355,270,JQ
D00071,85,26,0.7,1285,330,270,JQ
D00071,80,25,0.55,1285,330,270,JQ
D00071,80,25,0.65,1285,330,260,JQ
D00071,80,25,0.55,1285,0,270,JQ
D00071,80,30,0.6,1235,370,200,JQ
D00071,80,25,0.55,1285,0,270,JQ
D00071,70,26,0.65,1290,360,220,JQ
D00071,80,25,0.65,1320,360,250,JQ
D00071,80,25,0.7,1340,360,265,JQ
D00071,80,26,0.7,1340,360,255,JQ
D00071,85,26,0.65,1325,355,260,JQ
D00071,80,26,0.7,1340,360,255,JQ
D00072,127,220,0.65,1030,430,170,JQ
D00072,131,220,0.7,1030,430,175,JQ
D00072,131,220,0.7,1030,425,175,JQ
D00072,131,220,0.7,1030,425,175,JQ
D00072,130,220,0.7,1030,425,175,JQ
D00072,135,220,0.7,1030,425,175,JQ
D00072,140,220,0.7,1020,415,175,JQ
D00072,130,220,0.65,1020,400,175,JQ
D00072,130,215,0.65,1020,480,175,JQ
D00073,115,205,0.6,1150,350,160,JQ
D00073,125,210,0.6,1200,340,184,JQ
D00073,120,210,0.6,1200,340,160,JQ
D00073,115,200,0.6,1230,340,160,JQ
D00073,120,210,0.6,1225,355,170,JQ
D00073,120,200,0.6,1225,325,170,JQ
D00073,120,210,0.6,1225,355,170,JQ
D00073,120,210,0.6,1230,340,160,JQ
D00073,120,210,0.6,1230,340,160,JQ
D00073,120,205,0.6,1230,340,160,JQ
D00073,120,210,0.6,1230,340,160,JQ
D00073,120,205,0.5,1130,400,180,JQ
D00073,120,210,0.6,1230,340,340,JQ
D00073,120,200,0.7,1100,330,170,JQ
D00073,120,210,0.6,1230,340,160,JQ
D00073,120,210,0.6,1230,340,210,JQ
D00073,120,210,0.6,1230,340,210,JQ
D00073,120,210,0.6,1230,340,210,JQ
D00073,120,210,0.6,1230,340,210,JQ
D00073,130,230,0.6,1230,0,210,JQ
D00073,120,210,0.6,1220,0,225,JQ
D00073,120,205,0.6,1245,315,180,JQ
D00073,129,205,0.6,1220,335,170,JQ
D00073,134,205,0.6,1200,335,195,JQ
D00073,120,203,0.6,1230,0,160,JQ
D00073,120,210,0.6,1210,0,160,JQ
D00073,120,210,0.6,1235,0,160,JQ
D00073,120,210,0.6,1235,0,160,JQ
D00074,130,210,0.7,1080,320,160,JQ
D00074,125,210,0.7,1115,355,170,JQ
D00074,135,210,0.7,1130,370,180,JQ
D00074,135,210,0.75,1130,365,175,JQ
D00074,130,210,0.7,1130,365,165,JQ
D00074,130,210,0.7,1130,380,165,JQ
D00074,130,210,0.7,1080,325,160,JQ
D00074,120,220,0.7,1080,0,160,JQ
D00074,125,220,0.7,1080,0,160,JQ
D00074,130,220,0.7,1090,0,165,JQ
D00074,130,220,0.7,1090,0,165,JQ
D00074,120,215,0.6,1080,330,160,JQ
D00074,128,210,0.65,1090,330,165,JQ
D00074,130,210,0.7,1095,330,170,JQ
D00075,100,200,0.8,1200,300,165,JQ
D00075,120,220,0.6,1120,300,175,JQ
D00075,108,210,0.6,1100,310,175,JQ
D00075,117,220,0.7,1110,310,175,JQ
D00075,108,215,0.6,1110,300,165,JQ
D00075,108,215,0.6,1110,300,165,JQ
D00076,950,150,0.6,1070,0,170,JQ
D00076,965,160,0.6,1075,0,210,JQ
D00076,960,160,0.7,1075,0,200,JQ
D00076,955,160,0.6,1075,0,205,JQ
D00076,965,160,0.6,1075,0,210,JQ
D00076,965,160,0.6,1075,0,210,JQ
D00076,960,160,0.6,1070,0,170,JQ
D00076,960,160,0.6,1075,0,170,JQ
D00076,960,160,0.6,1075,0,170,JQ
