,DesignId,PRL,PRW,Stretch,FRJ,FRP,FRL,MC type
97,D00033,985.0,265.0,0.6,1180,350.0,160.0,JL
98,D00033,965.0,285.0,0.6,1160,345.0,165.0,JL
99,D00033,985.0,285.0,0.6,1160,345.0,170.0,JL
100,D00033,1020.0,285.0,0.7,1200,350.0,170.0,JL
101,D00033,970.0,285.0,0.7,1200,350.0,162.0,JL
102,D00033,1020.0,210.0,0.7,1185,370.0,175.0,JL
103,D00033,970.0,255.0,0.7,1080,450.0,160.0,JL
104,D00033,970.0,255.0,0.7,1120,480.0,160.0,JL
105,D00033,980.0,280.0,0.6,1180,350.0,160.0,JL
106,D00033,1015.0,300.0,0.6,1150,365.0,170.0,JL
107,D00033,900.0,290.0,0.7,1165,370.0,150.0,JL
108,D00033,970.0,295.0,0.6,1160,365.0,160.0,JL
109,D00033,970.0,285.0,0.6,1160,345.0,160.0,JL
110,D00033,980.0,270.0,0.6,1170,300.0,165.0,JL
111,D00033,955.0,280.0,0.6,1140,310.0,160.0,JL
112,D00035,500.0,260.0,0.6,1200,360.0,160.0,JL
113,D00035,530.0,260.0,0.6,1210,360.0,160.0,JL
114,D00035,610.0,245.0,0.6,1300,390.0,190.0,JL
115,D00035,605.0,290.0,1.3,1260,360.0,190.0,JL
116,D00035,605.0,260.0,1.2,1280,350.0,190.0,JL
117,D00035,550.0,270.0,1.1,1190,360.0,170.0,JL
118,D00038,990.0,320.0,0.6,1230,370.0,185.0,JL
119,D00038,890.0,305.0,0.8,1220,380.0,180.0,JL
120,D00038,980.0,360.0,0.6,1190,320.0,168.0,JL
121,D00038,890.0,325.0,0.6,1190,320.0,168.0,JL
122,D00039,965.0,240.0,0.7,1220,490.0,170.0,JL
123,D00039,965.0,240.0,0.7,1220,490.0,165.0,JL
124,D00039,1040.0,240.0,0.55,1220,490.0,165.0,JL
125,D00039,970.0,240.0,0.7,1230,490.0,165.0,JL
126,D00039,965.0,240.0,0.7,1220,490.0,167.0,JL
127,D00039,915.0,240.0,0.7,1230,490.0,180.0,JL
128,D00039,970.0,240.0,0.7,1270,490.0,200.0,JL
129,D00039,970.0,240.0,0.7,1225,485.0,192.0,JL
130,D00039,995.0,240.0,0.6,1250,510.0,165.0,JL
131,D00039,1000.0,240.0,0.7,1250,510.0,165.0,JL
132,D00039,980.0,240.0,0.7,1250,510.0,160.0,JL
133,D00039,965.0,240.0,0.7,1220,490.0,167.0,JL
134,D00039,968.0,240.0,0.7,1250,510.0,157.0,JL
135,D00039,965.0,240.0,0.7,1220,490.0,164.0,JL
136,D00039,965.0,240.0,0.7,1220,490.0,164.0,JL
137,D00039,955.0,240.0,0.7,1220,490.0,164.0,JL
138,D00039,965.0,240.0,0.7,1220,490.0,166.0,JL
139,D00039,920.0,255.0,0.7,1225,450.0,192.0,JL
140,D00039,1100.0,335.0,0.7,1230,490.0,192.0,JL
141,D00039,970.0,240.0,0.7,1230,490.0,192.0,JL
142,D00039,970.0,240.0,0.7,1220,409.0,167.0,JL
143,D00039,970.0,240.0,0.7,1200,490.0,167.0,JL
144,D00039,965.0,240.0,0.7,1220,490.0,167.0,JL
145,D00039,970.0,240.0,0.7,1200,490.0,167.0,JL
146,D00039,965.0,240.0,0.7,1120,490.0,165.0,JL
147,D00039,965.0,240.0,0.7,1220,490.0,167.0,JL
148,D00039,1000.0,220.0,0.6,1290,400.0,168.0,JL
149,D00039,983.0,250.0,0.6,1290,490.0,167.0,JL
150,D00039,965.0,240.0,0.7,1290,480.0,160.0,JL
151,D00039,965.0,240.0,0.7,1220,490.0,165.0,JL
152,D00042,260.0,320.0,0.8,1200,320.0,175.0,JL
153,D00042,270.0,350.0,0.6,1200,320.0,160.0,JL
154,D00042,265.0,360.0,0.6,1200,320.0,150.0,JL
155,D00042,230.0,320.0,0.9,1200,310.0,150.0,JL
156,D00042,240.0,320.0,0.9,1190,280.0,160.0,JL
157,D00049,32.0,210.0,0.7,1120,300.0,180.0,JQ
158,D00049,30.0,220.0,0.6,1025,356.7,160.0,JQ
159,D00049,28.0,220.0,0.6,1030,356.7,160.0,JQ
160,D00049,30.0,220.0,0.6,1030,356.7,165.0,JQ
161,D00049,30.0,220.0,0.6,1030,356.7,165.0,JQ
162,D00049,27.0,220.0,0.6,1025,340.0,150.0,JQ
163,D00049,33.0,215.0,0.6,1030,356.7,160.0,JQ
164,D00049,30.0,220.0,0.6,1025,356.7,160.0,JQ
165,D00049,27.0,220.0,0.6,1025,356.7,150.0,JQ
166,D00049,28.0,220.0,0.6,1100,300.0,150.0,JQ
167,D00049,27.0,220.0,0.6,1025,340.0,150.0,JQ
168,D00049,32.0,205.0,0.7,1220,330.0,165.0,JQ
169,D00049,27.0,220.0,0.6,1025,340.0,150.0,JQ
170,D00049,26.0,210.0,0.6,1030,356.7,150.0,JQ
171,D00049,27.0,215.0,0.6,1030,356.7,150.0,JQ
172,D00049,30.0,220.0,0.6,1025,356.7,160.0,JQ
173,D00049,27.0,215.0,0.6,1025,356.7,150.0,JQ
174,D00053,57.0,136.0,0.7,1240,470.0,190.0,JQ
175,D00053,54.0,137.0,0.7,1225,470.0,190.0,JQ
176,D00053,55.0,140.0,0.7,1200,470.0,190.0,JQ
177,D00055,53.0,240.0,0.6,1080,340.0,170.0,JQ
178,D00055,48.0,210.0,0.7,1000,420.0,175.0,JQ
179,D00055,47.0,205.0,0.7,1000,410.0,170.0,JQ
180,D00055,50.0,230.0,0.8,1135,315.0,170.0,JQ
181,D00055,52.0,230.0,0.7,1140,300.0,170.0,JQ
182,D00055,46.0,230.0,0.7,1200,280.0,140.0,JQ
183,D00055,46.0,190.0,0.7,1160,350.0,170.0,JQ
184,D00055,47.0,195.0,0.7,1130,350.0,180.0,JQ
185,D00055,49.0,200.0,0.6,1040,380.0,170.0,JQ
186,D00055,51.0,205.0,0.6,1010,400.0,180.0,JQ
187,D00055,50.0,205.0,0.7,1000,420.0,180.0,JQ
188,D00056,100.0,190.0,0.8,1100,350.0,165.0,JQ
189,D00056,120.0,225.0,0.55,920,356.7,190.0,JQ
190,D00056,115.0,220.0,0.55,930,356.7,180.0,JQ
191,D00056,110.0,220.0,0.55,930,356.7,170.0,JQ
192,D00056,100.0,210.0,0.6,1240,356.7,165.0,JQ
193,D00056,120.0,190.0,0.7,1050,356.7,185.0,JQ
194,D00056,110.0,205.0,0.65,1050,356.7,165.0,JQ
195,D00056,100.0,220.0,0.6,975,356.7,160.0,JQ
196,D00056,105.0,215.0,0.6,975,356.7,180.0,JQ
197,D00056,105.0,205.0,0.6,975,356.7,180.0,JQ
198,D00056,105.0,197.0,0.6,975,356.7,180.0,JQ
199,D00056,103.0,195.0,0.9,1050,380.0,175.0,JQ
200,D00056,105.0,201.0,0.6,975,356.7,180.0,JQ
201,D00056,105.0,205.0,0.6,975,356.7,180.0,JQ
202,D00056,100.0,195.0,0.5,975,356.7,180.0,JQ
203,D00056,105.0,205.0,0.6,975,356.7,230.0,JQ
204,D00056,103.0,196.0,0.6,975,400.0,175.0,JQ
205,D00056,105.0,202.0,0.6,950,400.0,180.0,JQ
206,D00056,105.0,205.0,0.6,945,400.0,180.0,JQ
